2020-11-13 12:42:22.951 - INFO - 5214 - azureml.train.automl.automlconfig._start_execution:219 - No compute target or run config provided. Running local legacy run.
2020-11-13 12:42:22.953 - INFO - 5214 - azureml.train.automl.automlconfig._start_execution:259 - Submitting local legacy run.
2020-11-13 12:42:22.953 - INFO - 5214 - azureml.automl.core.package_utilities._log_activity:54 - ActivityStarted: PackagesCheck
2020-11-13 12:42:22.958 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-train-core, Version: 1.18.0 found.
2020-11-13 12:42:22.965 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-pipeline-core, Version: 1.18.0 found.
2020-11-13 12:42:22.966 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-train-automl-client, Version: 1.18.0 found.
2020-11-13 12:42:22.966 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-containerregistry, Version: 2.8.0 found.
2020-11-13 12:42:22.967 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: secretstorage, Version: 3.1.2 found.
2020-11-13 12:42:22.967 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: pathspec, Version: 0.8.0 found.
2020-11-13 12:42:22.967 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-common, Version: 1.1.25 found.
2020-11-13 12:42:22.968 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-authorization, Version: 0.61.0 found.
2020-11-13 12:42:22.968 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: urllib3, Version: 1.25.11 found.
2020-11-13 12:42:22.969 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: cryptography, Version: 3.2.1 found.
2020-11-13 12:42:22.969 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: contextlib2, Version: 0.6.0.post1 found.
2020-11-13 12:42:22.970 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: ruamel.yaml, Version: 0.16.12 found.
2020-11-13 12:42:22.970 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-keyvault, Version: 2.2.0 found.
2020-11-13 12:42:22.971 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: python-dateutil, Version: 2.8.1 found.
2020-11-13 12:42:22.971 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: ndg-httpsclient, Version: 0.5.1 found.
2020-11-13 12:42:22.972 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-resource, Version: 10.3.0 found.
2020-11-13 12:42:22.972 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: jmespath, Version: 0.10.0 found.
2020-11-13 12:42:22.972 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: pytz, Version: 2020.4 found.
2020-11-13 12:42:22.973 - INFO - 5214 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: pyjwt, Version: 1.7.1 found.
